case_id,category,symptom,topology_note,show_outputs,expected_root_cause,osi_layer,severity,fix_steps,Concept_Tag
1,Gateway,PC0 cannot reach router gateway 192.168.1.1,Router connected via Gi0/0 to Switch0 subnet 192.168.1.0/24,GigabitEthernet0/0 is administratively down line protocol is down,Interface left in shutdown state,Layer 1 ,High,"configure terminal -> interface 
GigabitEthernet0/0 -> no shutdown",Interface Status / Gateway Routing
2,VLAN,PC0 cannot ping PC1 or gateway; ping times out completely,Router-on-a-stick topology with Switch0 and Switch1 trunk link,"%CDP-4-NATIVE_VLAN_MISMATCH: Native VLAN mismatch discovered on FastEthernet0/3 (99), with Switch FastEthernet0/1 (10)",Native VLAN mismatch on trunk link and misconfigured PC default gateway,Layer 2 ,High,"configure terminal -> interface FastEthernet0/1 -> switchport 
trunk native vlan 99 -> update PC default gateway",Trunking & Native VLAN Mismatch
3,VLAN,PC0 cannot ping PC1; ping results in 100% packet loss,Router-on-a-stick topology with Switch0 and Switch1; PC1 connected to Switch1 Fa0/2,FastEthernet0/2 is assigned to VLAN 10 instead of VLAN 20,Access port VLAN assignment mismatch,Layer 2,High,"configure terminal -> interface FastEthernet0/2 -> switchport 
access vlan 20 -> end -> copy running-config startup-config",Access Port VLAN Assignment
4,NAT,Internal hosts in VLAN 10 cannot access external public web servers; ping to public server results in 100% packet loss,Router0 connected via Gi0/0 to internal network and Gi0/1 to external public server (ISP),"show ip nat statistics -> Outside Interfaces: GigabitEthernet0/0, Inside Interfaces: GigabitEthernet0/1 (Inverted bindings)",NAT inside and outside interface bindings are inverted on the router interfaces,Layer 3,High,"configure terminal -> interface GigabitEthernet0/0 -> no ip nat 
outside -> ip nat inside -> exit -> interface GigabitEthernet0/1 -> no ip nat inside -> ip nat outside -> end -> 
clear ip nat translation * -> copy running-config startup-config",Network Address Translation (NAT) Binding
5,DHCP,"New client PCs added to the network fail to obtain an automatic IP address via
 DHCP, resulting in an APIPA address (169.254.x.x) and complete lack of local or remote connectivity.","Router0 (2911 acting as DHCP Server) connected via Gi0/0 to Switch0 subnet
192.168.10.0/24; PC2 connected to Switch0 port Fa0/3 set to DHCP.",show ip dhcp pool -> Leased addresses: 0; ipconfig -> Autoconfiguration IPv4 Address 169.254.x.x,DHCP service is disabled globally on the router.,Layer 7,High,"configure terminal -> service dhcp -> end -> 
copy running-config startup-config",Dynamic Host Configuration Protocol (DHCP) Service
6,Routing,"Static route configured with incorrect next-hop IP address results in complete traffic drop and ""Request timed out"" when pinging remote subnet.","Router0 connected via GigabitEthernet0/1 to Router1 (WAN link 10.0.0.0/30); 
local subnet 192.168.10.0/24 trying to reach remote network 192.168.20.0/24.","show ip route -> Static route lists invalid next-hop IP (e.g., 10.0.0.99 instead of 10.0.0.2).",Static route configured with an invalid or unreachable next-hop IP address,Layer 3,High,"configure terminal -> no ip route 192.168.20.0 255.255.255.0 10.0.0.99 ->  ip route 192.168.20.0 255.255.255.0 10.0.0.2 -> 
end -> copy running-config startup-config",Static Routing / Next-Hop Unreachability
7,VLAN,"PC0 on the local network cannot ping its default gateway or other devices in its intended subnet, resulting in ""Request timed out"" errors during ping tests.","Router0 port GigabitEthernet0/0 connects to Switch0 port FastEthernet0/1 (trunk link); 
PC0 connects to Switch0 port FastEthernet0/2 (subnet 192.168.10.0/24).","show vlan brief -> FastEthernet0/2 assigned to VLAN 20 instead of VLAN 10; show interfaces fastethernet0/2 switchport -> 
Access Mode VLAN: 20.","Access port VLAN assignment mismatch isolating the host from 
its router subinterface gateway",Layer 2,Medium,"configure terminal -> interface FastEthernet0/2 -> switchport 
mode access -> switchport access vlan 10 -> end -> copy running-
config startup-config",Access Port VLAN Assignment
8,ACL,"Hosts in VLAN 10 (192.168.10.0/24) cannot ping devices or servers in VLAN 20 (192.168.20.0/24), resulting in ""Request timed out"" messages.","Router0 connected via GigabitEthernet0/1 to Switch0 subnet 192.168.10.0/24 and 
192.168.20.0/24 using subinterfaces.",show ip interface gigabitethernet0/0.10 -> Outbound access list is 100; show access-lists -> Extended IP access list 100 deny icmp any any,"An active Access Control List (ACL) is explicitly denying ICMP (ping) 
traffic between VLAN subnets.",Layer 3 ,High,"configure terminal -> interface GigabitEthernet0/0.10 -> 
no ip access-group 100 out -> no access-list 100 -> end -> copy running-config startup-config",Access Control List (ACL) Filtering
9,DNS,"Client PCs can successfully ping external IP addresses (e.g., 8.8.8.8) and direct server IPs, but fail to resolve web domain names when browsing 
websites (e.g., www.example.com), resulting in browser lookup errors or nslookup failures.","Router0 (2911 acting as DHCP Server) connected via Gi0/0 to Switch0 subnet 192.168.10.0/24; an incorrect DNS server IP address (192.168.10.254) is 
provisioned via the DHCP pool instead of a valid reachable DNS server.",show ip dhcp pool VLAN10_POOL -> DNS server: 192.168.10.254; nslookup www.example.com -> Server: Unreachable / DNS request timed out.,DHCP pool is configured with an incorrect or unreachable DNS server IP address.,Layer 7,Medium,"configure terminal -> ip dhcp pool VLAN10_POOL -> 
dns-server 8.8.8.8 -> end -> copy running-config startup-config",DNS Configuration & Name Resolution
10,VLAN,"PC connected to Switch port FastEthernet0/1 suddenly loses network connectivity, and the port status shows as down.","Switch0 port FastEthernet0/1 has port-security enabled with a maximum limit of 1 MAC 
address; an unauthorized device or hub was connected to the port, causing a security violation.","show interfaces fastethernet0/1 -> FastEthernet0/1 is down, line protocol is down (err-disabled); show port-security interface fastethernet0/1 -> 
Port Status: Secure-down, Violation Mode: Shutdown.","Switch port entered the err-disabled state because a port-security violation 
occurred when an unauthorized MAC address exceeded the allowed limit.",Layer 2,High,"configure terminal -> interface fastethernet0/1 -> shutdown -> 
no shutdown -> switchport port-security maximum 2 -> end -> copy running-config startup-config",Switch Port Security & Err-Disabled Recovery
